date,hours,tension
2020/1/27,5,0
2020/1/28,2,-1
2020/1/29,6,1
2020/1/30,7,1
2020/1/31,3,0
2020/2/1,5,1
2020/2/2,0,1
2020/2/3,5,1
2020/2/4,5,1
2020/2/5,1,1
2020/2/6,3,0
2020/2/7,3,0
2020/2/8,0,0
2020/2/9,2,0
2020/2/10,0,-2
2020/2/11,5,1
2020/2/12,4,1
2020/2/13,1,1
2020/2/14,1,-2
2020/2/15,4,1
2020/2/16,3,1
2020/2/17,4,1
2020/2/18,1,0
2020/2/19,4,0
2020/2/20,3,1
2020/2/21,5,-1
2020/2/22,5,-2
2020/2/23,1,-3
2020/2/24,3,0
2020/2/25,5,1
2020/2/26,3,1
2020/2/27,5,1
2020/2/28,5,1
2020/2/29,0,1
2020/3/1,4,0
2020/3/2,2,0
2020/3/3,4,1
2020/3/4,3,2
2020/3/5,4,1
2020/3/6,6,1
2020/3/7,6,1
2020/3/8,5,1
2020/3/9,3,0
2020/3/10,3,1
2020/3/11,5,0
2020/3/12,3,0
2020/3/13,3,0
2020/3/14,1,0
2020/3/15,0,0
2020/3/16,3,1
2020/3/17,4,0
2020/3/18,0,-1
2020/3/19,5,1
2020/3/20,3,0
2020/3/21,3,-1
2020/3/22,3,0
2020/3/23,4,0
2020/3/24,3,1
2020/3/25,5,0
2020/3/26,3,0
2020/3/27,4,0
2020/3/28,3,-1
2020/3/29,0,-1
2020/3/30,2,-1
2020/3/31,3,0
2020/4/1,4,0
2020/4/2,2,-1
2020/4/3,5,1
2020/4/4,3,1
2020/4/5,2,0
2020/4/6,0,0
2020/4/7,5,0
2020/4/8,1,-2
2020/4/9,2,-2
2020/4/10,4,1
2020/4/11,3,0
2020/4/12,2,-2
2020/4/13,4,1
2020/4/14,2,0
2020/4/15,3,1
2020/4/16,3,1
2020/4/17,0,0
2020/4/18,3,-1
2020/4/19,0,-2
2020/4/20,4,1
2020/4/21,2,2
2020/4/22,2,0
2020/4/23,3,0
2020/4/24,0,-1
2020/4/25,3,0
2020/4/26,0,0
2020/4/27,2,0
2020/4/28,1,-1
2020/4/29,4,1
2020/4/30,0,1
2020/5/1,2,1
2020/5/2,4,0
2020/5/3,3,1
2020/5/4,4,1
2020/5/5,3,1
2020/5/6,2,-1
2020/5/7,5,1
2020/5/8,3,0
2020/5/9,3,0
